st_id,duplicates,st_name,st_genre1,st_genre2,st_genre3,st_genre4,popularity,followers,related_found,degree,in_degree,out_degree,level_popularity,community,artist_group,group,count
1mZMrngksK45xA6GYOpxPt,3.0,Quách Tuấn Du,vinahouse,,,,28.0,1796.0,16.0,218,160,58,16.0,4,Pop 9x Sến,5.0,565927.0
5DAaYZo49kJJcvhzZ65waV,1.0,Duyên Anh Idol,,,,,0.0,4.0,0.0,63,23,40,8.0,1,Pop Ballad Flop,7.0,11405.0
6XyY86QOPPrYVGvF9ch6wz,1.0,Linkin Park,alternative metal,nu metal,post-grunge,rap metal,83.0,21741367.0,17.0,63,14,49,40.0,14,,,12463.0
4M6Z1wubeKtwPqbjJygTOc,1.0,Shontelle,barbadian pop,dance pop,hip pop,post-teen pop,57.0,640909.0,16.0,51,35,16,24.0,3,,,133.0
6wPhSqRtPu1UhRCDX5yaDJ,1.0,The Pussycat Dolls,dance pop,girl group,pop,post-teen pop,68.0,5212917.0,19.0,48,12,36,32.0,0,,,628.0
1uQ8BQhLtGMfK8PS3UAdNX,1.0,Suh Young Eun,,,,,21.0,748.0,14.0,17,3,14,16.0,2,,,126.0
7iGWE6DvwRabk2DIgbTJ1n,2.0,Tuấn Ngọc,vietnamese pop,,,,33.0,97064.0,18.0,209,164,45,16.0,4,,,240377.0
3l0MJ9LCiBlMyOMaz485Q5,1.0,Baek Ji Young,k-pop,korean pop,,,47.0,133861.0,19.0,143,103,40,24.0,2,,,13680.0
0hRHbwZ0xSwfVHl4FTv7jq,3.0,Gummy,k-pop,korean pop,,,51.0,283406.0,20.0,191,140,51,24.0,2,,,10472.0
1XNC9ksvgXeD1xRJruSA5t,1.0,K.Will,k-pop,korean pop,,,49.0,333726.0,20.0,154,108,46,24.0,2,,,16422.0
4ht0wODL01ELRxlDYvsFad,1.0,Đàm Vĩnh Hưng,v-pop,vietnamese bolero,,,34.0,78312.0,19.0,125,68,57,16.0,4,,,858116.0
6gzXCdfYfFe5XKhPKkYqxV,1.0,SUPER JUNIOR,k-pop,k-pop boy group,,,61.0,2255855.0,20.0,121,79,42,32.0,2,,,28732.0
4dpARuHxo51G3z768sgnrY,2.0,Adele,british soul,pop,pop soul,uk pop,84.0,42406012.0,20.0,128,73,55,40.0,0,,,195680.0
5jLwURKdEPDvuYnac74s9c,1.0,Alesha Dixon,europop,uk pop,,,43.0,234978.0,12.0,26,14,12,24.0,0,,,2.0
5dTYaRzOn4rXGBLH052EeQ,1.0,A Fine Frenzy,acoustic pop,indie pop,lilith,neo mellow,45.0,264657.0,14.0,39,25,14,24.0,3,,,6.0
0urTpYCsixqZwgNTkPJOJ4,2.0,Aaliyah,contemporary r&b,dance pop,hip pop,neo soul,66.0,3429004.0,18.0,67,32,35,32.0,3,,,2071.0
5338fdSzGNOFD4cxAxDTeq,1.0,Aaron Carter,europop,post-teen pop,,,44.0,278565.0,14.0,73,33,40,24.0,3,,,1130.0
0C1KLj4tJZ6rBGgPNEDg8U,1.0,Emi Fujita,audiophile vocal,,,,31.0,10286.0,6.0,15,8,7,16.0,3,,,364.0
2MgeW2T979JpySoUptfZju,2.0,Khanh Ha,vietnamese pop,,,,26.0,26236.0,19.0,183,136,47,16.0,4,,,70379.0
2VUAd7F7SCWs7gYMGAQVxK,2.0,Cao Thai Son,v-pop,,,,28.0,117100.0,20.0,145,95,50,16.0,1,V-pop Mainstream,6.0,778343.0
5L4EafeXwZ0stGuPtGr5Tz,1.0,Rain,classic k-pop,,,,48.0,105786.0,18.0,29,3,26,24.0,2,,,3216.0
3LVqjXvcYbwMZc4vt4wKpM,1.0,Bức Tường,indie viet,mainland se asia metal,rock viet,,24.0,11656.0,13.0,58,30,28,16.0,1,,,115502.0
0gbeh1a6jor3A3vyJFVJxm,3.0,Hồng Ngọc,,,,,21.0,2225.0,19.0,90,40,50,16.0,4,Pop 9x thị trường,2.0,136626.0
6svgWuCwU8y127rJRPTWcI,2.0,Khánh Linh,v-pop,,,,18.0,7186.0,12.0,67,28,39,8.0,4,Pop Mainstream Vocal,12.0,15061.0
51JbNPIS9UmDvj6sTZD2Jt,1.0,Khánh Ngọc,,,,,20.0,88.0,10.0,106,59,47,16.0,36,Pop 9x Sến,5.0,346580.0
5pKCCKE2ajJHZ9KAiaK11H,1.0,Rihanna,barbadian pop,dance pop,pop,urban contemporary,87.0,50115670.0,20.0,122,65,57,40.0,0,,,44054.0
4vRSocKbGh7PsQrYRDVMEF,1.0,Lindsay Lohan,dance pop,post-teen pop,,,46.0,932894.0,17.0,47,30,17,24.0,3,,,5.0
0IMvyEWySP665zddlejaSm,2.0,Quang Vinh,v-pop,,,,28.0,42591.0,20.0,160,110,50,16.0,1,Pop 9x thị trường,2.0,655674.0
6tbjWDEIzxoDsBA1FuhfPW,1.0,Madonna,dance pop,pop,,,77.0,6350537.0,18.0,28,10,18,32.0,3,,,1254.0
74XFHRwlV6OrjEM0A2NCMF,1.0,Paramore,candy pop,pixie,pop emo,pop punk,76.0,7109045.0,16.0,20,4,16,32.0,14,,,6.0
2lWShxOL8iTlI0pmtVKvEh,1.0,S.H.E,mandopop,taiwan idol pop,taiwan pop,,53.0,524873.0,4.0,53,23,30,24.0,8,,,5356.0
1ZeXaaoO3JGlSVQMGznrWd,2.0,F4,,,,,10.0,712.0,2.0,29,13,16,8.0,8,,,2023.0
5YneEA2nLtAhkD5t2769lZ,1.0,Ikimonogakari,anime,j-pop,j-poprock,,60.0,1103756.0,14.0,57,35,22,32.0,11,,,9235.0
5XcfMxmHUiyxc1Q283Nmxj,1.0,Đan Trường,v-pop,,,,31.0,52164.0,19.0,119,72,47,16.0,4,Pop 9x thị trường,2.0,1716511.0
6I3M904Y9IwgDjrQ9pANiB,1.0,Kenny G,smooth jazz,smooth saxophone,,,62.0,914458.0,14.0,112,55,57,32.0,5,,,173163.0
26dSoYclwsYLMAKD3tpOr4,1.0,Britney Spears,dance pop,pop,,,81.0,11320335.0,20.0,112,62,50,40.0,0,,,96023.0
6vWDO969PvNqNYHIOW5v0m,1.0,Beyoncé,dance pop,pop,r&b,,88.0,32163422.0,18.0,116,52,64,40.0,0,,,55927.0
2S9W9aSAd7e5mp8WqWxN2h,1.0,Hilary Duff,dance pop,pop,post-teen pop,,57.0,2153199.0,17.0,48,29,19,24.0,0,,,539.0
4x3GOic9xXFOoOBrEMuvN9,1.0,Mai Kuraki,japanese singer-songwriter,,,,46.0,58013.0,8.0,11,3,8,24.0,11,,,17.0
1XYuC1vxinTjHCNd5clB8C,1.0,ARASHI,j-pop,,,,64.0,1881100.0,11.0,16,5,11,32.0,11,,,25.0
57ALvbCBaCkNlgTOSiUPdT,1.0,Aaron Neville,soul,,,,55.0,103888.0,16.0,17,1,16,24.0,3,,,43.0
4XwKU420OWVk38vz1KvH3M,1.0,Aaron Tippin,country,country road,country rock,redneck,50.0,529286.0,9.0,28,19,9,24.0,23,,,2.0
6prmLEyn4LfHlD9NnXWlf7,2.0,Adam Lambert,dance pop,idol,post-teen pop,,61.0,1363604.0,18.0,78,21,57,32.0,0,,,8982.0
4bYPcJP5jwMhSivRcqie2n,1.0,Adam Levine,deep talent show,neo mellow,,,72.0,963975.0,13.0,98,48,50,32.0,0,,,25618.0
0z4gvV4rjIZ9wHck67ucSV,1.0,Akon,dance pop,,,,80.0,3357750.0,20.0,26,2,24,40.0,0,,,2525.0
3dkbV4qihUeMsqN4vBGg93,1.0,Al Green,classic soul,funk,memphis soul,quiet storm,64.0,1692515.0,17.0,24,7,17,32.0,3,,,60.0
3YR92OLKlvkK5oKNekSqXe,1.0,Al Jarreau,adult standards,smooth jazz,soft rock,yacht rock,53.0,333336.0,12.0,20,8,12,24.0,7,,,5.0
4mxWe1mtYIYfP040G38yvS,1.0,Alan Jackson,contemporary country,country,country road,,72.0,2077380.0,15.0,55,19,36,32.0,23,,,6594.0
34E3csCxpXunPGEkOVVX2g,1.0,Albert Hammond,bubblegum pop,classic uk pop,folk rock,rock of gibraltar,53.0,102779.0,12.0,20,8,12,24.0,3,,,2.0
4F5jaYapI8RtTpqwaYs4IF,1.0,Lệ Quyên,v-pop,vietnamese bolero,vietnamese pop,,43.0,394503.0,20.0,173,122,51,24.0,4,,,4247803.0
