Unnamed: 0,st_id,st_name,st_genre1,st_genre2,st_genre3,st_genre4,popularity,followers,related_found,artist_group,index_community
0,1mZMrngksK45xA6GYOpxPt,Quách Tuấn Du,vinahouse,,,,28.0,1796.0,16.0,Pop 9x Sến,10
1,5DAaYZo49kJJcvhzZ65waV,Duyên Anh Idol,,,,,0.0,4.0,0.0,Pop Ballad Flop,3
2,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,alternative metal,nu metal,post-grunge,rap metal,83.0,21741367.0,17.0,,14
3,4M6Z1wubeKtwPqbjJygTOc,Shontelle,barbadian pop,dance pop,hip pop,post-teen pop,57.0,640909.0,16.0,,6
4,6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls,dance pop,girl group,pop,post-teen pop,68.0,5212917.0,19.0,,6
5,1uQ8BQhLtGMfK8PS3UAdNX,Suh Young Eun,,,,,21.0,748.0,14.0,,1
6,7iGWE6DvwRabk2DIgbTJ1n,Tuấn Ngọc,vietnamese pop,,,,33.0,97064.0,18.0,,10
7,3l0MJ9LCiBlMyOMaz485Q5,Baek Ji Young,k-pop,korean pop,,,47.0,133861.0,19.0,,1
8,0hRHbwZ0xSwfVHl4FTv7jq,Gummy,k-pop,korean pop,,,51.0,283406.0,20.0,,1
9,1XNC9ksvgXeD1xRJruSA5t,K.Will,k-pop,korean pop,,,49.0,333726.0,20.0,,1
10,4ht0wODL01ELRxlDYvsFad,Đàm Vĩnh Hưng,v-pop,vietnamese bolero,,,34.0,78312.0,19.0,,10
11,6gzXCdfYfFe5XKhPKkYqxV,SUPER JUNIOR,k-pop,k-pop boy group,,,61.0,2255855.0,20.0,,1
12,4dpARuHxo51G3z768sgnrY,Adele,british soul,pop,pop soul,uk pop,84.0,42406012.0,20.0,,6
13,5jLwURKdEPDvuYnac74s9c,Alesha Dixon,europop,uk pop,,,43.0,234978.0,12.0,,6
14,5dTYaRzOn4rXGBLH052EeQ,A Fine Frenzy,acoustic pop,indie pop,lilith,neo mellow,45.0,264657.0,14.0,,6
15,0urTpYCsixqZwgNTkPJOJ4,Aaliyah,contemporary r&b,dance pop,hip pop,neo soul,66.0,3429004.0,18.0,,6
16,5338fdSzGNOFD4cxAxDTeq,Aaron Carter,europop,post-teen pop,,,44.0,278565.0,14.0,,6
17,0C1KLj4tJZ6rBGgPNEDg8U,Emi Fujita,audiophile vocal,,,,31.0,10286.0,6.0,,5
18,2MgeW2T979JpySoUptfZju,Khanh Ha,vietnamese pop,,,,26.0,26236.0,19.0,,10
19,2VUAd7F7SCWs7gYMGAQVxK,Cao Thai Son,v-pop,,,,28.0,117100.0,20.0,V-pop Mainstream,3
20,5L4EafeXwZ0stGuPtGr5Tz,Rain,classic k-pop,,,,48.0,105786.0,18.0,,1
21,3LVqjXvcYbwMZc4vt4wKpM,Bức Tường,indie viet,mainland se asia metal,rock viet,,24.0,11656.0,13.0,,3
